campus,policy,R0,gamma,beta,budget_fraction,cost_used,n_edges_removed,steady_state_prevalence,steady_state_ci_low,steady_state_ci_high,peak_prevalence,time_to_extinction,lambda_residual,n_realizations,seed,cost_function,steady_ci_width
Bowdoin47,betweenness,0.8,0.1,0.0006440155378775412,0.0,0.0,0,4.127612761276128e-05,1.7601760176017604e-06,9.972717271727173e-05,0.0044444444444444444,50.02,124.22060539665407,50,42,sigmoid_dot,9.796699669966997e-05
Bowdoin47,betweenness,0.8,0.1,0.0006440155378775412,0.005,245.5236332344058,432,4.127612761276128e-05,1.7601760176017604e-06,9.972717271727173e-05,0.0044444444444444444,50.02,123.89934790802302,50,42,sigmoid_dot,9.796699669966997e-05
Bowdoin47,betweenness,0.8,0.1,0.0006440155378775412,0.01,491.13907994203396,867,2.8602860286028607e-05,0.0,8.052805280528053e-05,0.0044444444444444444,49.04,123.33947768020435,50,42,sigmoid_dot,8.052805280528053e-05
Bowdoin47,betweenness,0.8,0.1,0.0006440155378775412,0.02,982.7268629792627,1736,2.8602860286028607e-05,0.0,8.052805280528053e-05,0.0044444444444444444,49.04,122.3918546401769,50,42,sigmoid_dot,8.052805280528053e-05
Bowdoin47,betweenness,0.8,0.1,0.0006440155378775412,0.05,2457.5318769718115,4341,1.3465346534653467e-05,0.0,3.291969196919692e-05,0.0044444444444444444,47.52,119.35316289982984,50,42,sigmoid_dot,3.291969196919692e-05
Bowdoin47,betweenness,0.8,0.1,0.0006440155378775412,0.1,4915.718390823037,8653,4.576457645764577e-06,0.0,1.2673267326732676e-05,0.0044444444444444444,46.04,114.08172022507583,50,42,sigmoid_dot,1.2673267326732676e-05
Bowdoin47,betweenness,0.8,0.1,0.0006440155378775412,0.2,9831.762561192378,17245,0.0,0.0,0.0,0.0044444444444444444,40.58,103.25829521260323,50,42,sigmoid_dot,0.0
Bowdoin47,betweenness,0.8,0.1,0.0006440155378775412,0.4,19663.16732502321,34271,0.0,0.0,0.0,0.0044444444444444444,36.08,84.91285147422332,50,42,sigmoid_dot,0.0
Bowdoin47,distance_threshold,0.8,0.1,0.0006440155378775412,0.0,0.0,0,4.127612761276128e-05,1.7601760176017604e-06,9.972717271727173e-05,0.0044444444444444444,50.02,124.22060539665415,50,42,sigmoid_dot,9.796699669966997e-05
Bowdoin47,distance_threshold,0.8,0.1,0.0006440155378775412,0.005,245.5,491,4.0924092409240934e-05,1.7601760176017604e-06,9.867106710671067e-05,0.0044444444444444444,50.02,123.3970216967861,50,42,sigmoid_dot,9.69108910891089e-05
Bowdoin47,distance_threshold,0.8,0.1,0.0006440155378775412,0.01,491.5,983,3.309130913091309e-05,1.7601760176017604e-06,8.211221122112212e-05,0.0044444444444444444,49.6,122.60274895164824,50,42,sigmoid_dot,8.035203520352036e-05
Bowdoin47,distance_threshold,0.8,0.1,0.0006440155378775412,0.02,983.0,1966,3.309130913091309e-05,1.7601760176017604e-06,8.211221122112212e-05,0.0044444444444444444,49.6,120.9804649913784,50,42,sigmoid_dot,8.035203520352036e-05
Bowdoin47,distance_threshold,0.8,0.1,0.0006440155378775412,0.05,2457.4593160780323,4741,2.402640264026403e-05,0.0,6.943894389438946e-05,0.0044444444444444444,46.54,116.15018246931311,50,42,sigmoid_dot,6.943894389438946e-05
Bowdoin47,distance_threshold,0.8,0.1,0.0006440155378775412,0.1,4915.574035832888,9330,8.800880088008802e-07,0.0,2.6402640264026406e-06,0.0044444444444444444,42.68,108.62658632324116,50,42,sigmoid_dot,2.6402640264026406e-06
Bowdoin47,distance_threshold,0.8,0.1,0.0006440155378775412,0.2,9831.66260963897,18057,8.800880088008802e-07,0.0,2.6402640264026406e-06,0.0044444444444444444,40.46,96.22484635985823,50,42,sigmoid_dot,2.6402640264026406e-06
Bowdoin47,distance_threshold,0.8,0.1,0.0006440155378775412,0.4,19663.345902393157,34522,0.0,0.0,0.0,0.0044444444444444444,35.86,84.72702625893001,50,42,sigmoid_dot,0.0
Bowdoin47,gnn,0.8,0.1,0.0006440155378775412,0.0,0.0,0,4.127612761276128e-05,1.7601760176017604e-06,9.972717271727173e-05,0.0044444444444444444,50.02,124.2206053966541,50,42,sigmoid_dot,9.796699669966997e-05
Bowdoin47,gnn,0.8,0.1,0.0006440155378775412,0.005,245.33765653731922,438,2.437843784378438e-05,0.0,6.048184818481847e-05,0.0044444444444444444,48.92,120.29976199471146,50,42,sigmoid_dot,6.048184818481847e-05
Bowdoin47,gnn,0.8,0.1,0.0006440155378775412,0.01,491.51734857621216,878,4.840484048404841e-06,0.0,1.4521452145214524e-05,0.0044444444444444444,47.38,117.96133751416832,50,42,sigmoid_dot,1.4521452145214524e-05
Bowdoin47,gnn,0.8,0.1,0.0006440155378775412,0.02,982.9035224156141,1754,4.840484048404841e-06,0.0,1.4521452145214524e-05,0.0044444444444444444,46.68,114.26799188476039,50,42,sigmoid_dot,1.4521452145214524e-05
Bowdoin47,gnn,0.8,0.1,0.0006440155378775412,0.05,2457.393238283861,4351,3.960396039603961e-06,0.0,1.1881188118811883e-05,0.0044444444444444444,45.0,105.8126876130925,50,42,sigmoid_dot,1.1881188118811883e-05
Bowdoin47,gnn,0.8,0.1,0.0006440155378775412,0.1,4915.64789097395,8648,0.0,0.0,0.0,0.0044444444444444444,41.76,95.14478154630868,50,42,sigmoid_dot,0.0
Bowdoin47,gnn,0.8,0.1,0.0006440155378775412,0.2,9831.597217365212,17189,0.0,0.0,0.0,0.0044444444444444444,38.38,79.99719230719347,50,42,sigmoid_dot,0.0
Bowdoin47,gnn,0.8,0.1,0.0006440155378775412,0.4,19663.400872445793,34190,0.0,0.0,0.0,0.0044444444444444444,35.52,62.594842930023454,50,42,sigmoid_dot,0.0
